Tarih,Ülke,Onaylananlar,Ölenler,İyileşenler
3/28/20,Albania,197,10,31
3/29/20,Albania,212,10,33
3/30/20,Albania,223,11,44
3/31/20,Albania,243,15,52
43834,Albania,259,15,67
43865,Albania,277,16,76
43894,Albania,304,17,89
43925,Albania,333,20,99
43955,Albania,361,20,104
43986,Albania,377,21,116
44016,Albania,383,22,131
44047,Albania,400,22,154
44078,Albania,409,23,165
44108,Albania,416,23,182
44139,Albania,433,23,197
44169,Albania,446,23,217
4/13/20,Albania,467,23,232
4/14/20,Albania,475,24,248
4/15/20,Albania,494,25,251
4/16/20,Albania,518,26,277
4/17/20,Albania,539,26,283
4/18/20,Albania,548,26,302
4/19/20,Albania,562,26,314
4/20/20,Albania,584,26,327
4/21/20,Albania,609,26,345
4/22/20,Albania,634,27,356
4/23/20,Albania,663,27,385
4/24/20,Albania,678,27,394
4/25/20,Albania,712,27,403
4/26/20,Albania,726,28,410
4/27/20,Albania,736,28,422
1/22/20,Algeria,0,0,0
1/23/20,Algeria,0,0,0
1/24/20,Algeria,0,0,0
1/25/20,Algeria,0,0,0
1/26/20,Algeria,0,0,0
1/27/20,Algeria,0,0,0
1/28/20,Algeria,0,0,0
1/29/20,Algeria,0,0,0
1/30/20,Algeria,0,0,0
1/31/20,Algeria,0,0,0
43832,Algeria,0,0,0
43863,Algeria,0,0,0
43892,Algeria,0,0,0
43923,Algeria,0,0,0
43953,Algeria,0,0,0
43984,Algeria,0,0,0
44014,Algeria,0,0,0
44045,Algeria,0,0,0
44076,Algeria,0,0,0
44106,Algeria,0,0,0
44137,Algeria,0,0,0
44167,Algeria,0,0,0
2/13/20,Algeria,0,0,0
2/14/20,Algeria,0,0,0
2/15/20,Algeria,0,0,0
2/16/20,Algeria,0,0,0
2/17/20,Algeria,0,0,0
2/18/20,Algeria,0,0,0
2/19/20,Algeria,0,0,0
2/20/20,Algeria,0,0,0
2/21/20,Algeria,0,0,0
2/22/20,Algeria,0,0,0
2/23/20,Algeria,0,0,0
2/24/20,Algeria,0,0,0
2/25/20,Algeria,1,0,0
2/26/20,Algeria,1,0,0
2/27/20,Algeria,1,0,0
2/28/20,Algeria,1,0,0
2/29/20,Algeria,1,0,0
43833,Algeria,1,0,0
43864,Algeria,3,0,0
43893,Algeria,5,0,0
43924,Algeria,12,0,0
43954,Algeria,12,0,0
43985,Algeria,17,0,0
44015,Algeria,17,0,0
44046,Algeria,19,0,0
44077,Algeria,20,0,0
44107,Algeria,20,0,0
44138,Algeria,20,0,0
44168,Algeria,24,1,8
3/13/20,Algeria,26,2,8
3/14/20,Algeria,37,3,12
3/15/20,Algeria,48,4,12
3/16/20,Algeria,54,4,12
3/17/20,Algeria,60,4,12
3/18/20,Algeria,74,7,12
3/19/20,Algeria,87,9,32
3/20/20,Algeria,90,11,32
3/21/20,Algeria,139,15,32
3/22/20,Algeria,201,17,65
3/23/20,Algeria,230,17,65
3/24/20,Algeria,264,19,24
3/25/20,Algeria,302,21,65
3/26/20,Algeria,367,25,29
3/27/20,Algeria,409,26,29
3/28/20,Algeria,454,29,31
3/29/20,Algeria,511,31,31
3/30/20,Algeria,584,35,37
3/31/20,Algeria,716,44,46
43834,Algeria,847,58,61
43865,Algeria,986,86,61
43894,Algeria,1171,105,62
43925,Algeria,1251,130,90
43955,Algeria,1320,152,90
43986,Algeria,1423,173,90
44016,Algeria,1468,193,113
44047,Algeria,1572,205,237
44078,Algeria,1666,235,347
44108,Algeria,1761,256,405
44139,Algeria,1825,275,460
44169,Algeria,1914,293,591
4/13/20,Algeria,1983,313,601
4/14/20,Algeria,2070,326,691
4/15/20,Algeria,2160,336,708
4/16/20,Algeria,2268,348,783
4/17/20,Algeria,2418,364,846
4/18/20,Algeria,2534,367,894
4/19/20,Algeria,2629,375,1047
4/20/20,Algeria,2718,384,1099
4/21/20,Algeria,2811,392,1152
4/22/20,Algeria,2910,402,1204
4/23/20,Algeria,3007,407,1355
4/24/20,Algeria,3127,415,1408
4/25/20,Algeria,3256,419,1479
4/26/20,Algeria,3382,425,1508
4/27/20,Algeria,3517,432,1558
1/22/20,Andorra,0,0,0
1/23/20,Andorra,0,0,0
1/24/20,Andorra,0,0,0
1/25/20,Andorra,0,0,0
1/26/20,Andorra,0,0,0
1/27/20,Andorra,0,0,0
1/28/20,Andorra,0,0,0
1/29/20,Andorra,0,0,0
1/30/20,Andorra,0,0,0
1/31/20,Andorra,0,0,0
43832,Andorra,0,0,0
43863,Andorra,0,0,0
43892,Andorra,0,0,0
43923,Andorra,0,0,0
43953,Andorra,0,0,0
43984,Andorra,0,0,0
44014,Andorra,0,0,0
44045,Andorra,0,0,0
44076,Andorra,0,0,0
44106,Andorra,0,0,0
44137,Andorra,0,0,0
44167,Andorra,0,0,0
2/13/20,Andorra,0,0,0
2/14/20,Andorra,0,0,0
2/15/20,Andorra,0,0,0
2/16/20,Andorra,0,0,0
2/17/20,Andorra,0,0,0
2/18/20,Andorra,0,0,0
2/19/20,Andorra,0,0,0
2/20/20,Andorra,0,0,0
2/21/20,Andorra,0,0,0
2/22/20,Andorra,0,0,0
2/23/20,Andorra,0,0,0
2/24/20,Andorra,0,0,0
2/25/20,Andorra,0,0,0
2/26/20,Andorra,0,0,0
2/27/20,Andorra,0,0,0
2/28/20,Andorra,0,0,0
2/29/20,Andorra,0,0,0
43833,Andorra,0,0,0
43864,Andorra,1,0,0
43893,Andorra,1,0,0
43924,Andorra,1,0,0
43954,Andorra,1,0,0
43985,Andorra,1,0,0
44015,Andorra,1,0,0
44046,Andorra,1,0,0
44077,Andorra,1,0,0
44107,Andorra,1,0,0
44138,Andorra,1,0,0
44168,Andorra,1,0,1
3/13/20,Andorra,1,0,0
3/14/20,Andorra,1,0,1
3/15/20,Andorra,1,0,1
3/16/20,Andorra,2,0,1
3/17/20,Andorra,39,0,1
3/18/20,Andorra,39,0,1
3/19/20,Andorra,53,0,1
3/20/20,Andorra,75,0,1
3/21/20,Andorra,88,0,1
3/22/20,Andorra,113,1,1
3/23/20,Andorra,133,1,1
3/24/20,Andorra,164,1,1
3/25/20,Andorra,188,1,1
3/26/20,Andorra,224,3,1
3/27/20,Andorra,267,3,1
3/28/20,Andorra,308,3,1
3/29/20,Andorra,334,6,1
3/30/20,Andorra,370,8,10
3/31/20,Andorra,376,12,10
43834,Andorra,390,14,10
43865,Andorra,428,15,10
43894,Andorra,439,16,16
43925,Andorra,466,17,21
43955,Andorra,501,18,26
43986,Andorra,525,21,31
44016,Andorra,545,22,39
44047,Andorra,564,23,52
44078,Andorra,583,25,58
44108,Andorra,601,26,71
44139,Andorra,601,26,71
44169,Andorra,638,29,128
4/13/20,Andorra,646,29,128
4/14/20,Andorra,659,31,128
4/15/20,Andorra,673,33,169
4/16/20,Andorra,673,33,169
4/17/20,Andorra,696,35,191
4/18/20,Andorra,704,35,205
4/19/20,Andorra,713,36,235
4/20/20,Andorra,717,37,248
4/21/20,Andorra,717,37,282
4/22/20,Andorra,723,37,309
4/23/20,Andorra,723,37,333
4/24/20,Andorra,731,40,344
4/25/20,Andorra,738,40,344
4/26/20,Andorra,738,40,344
4/27/20,Andorra,743,40,385
1/22/20,Angola,0,0,0
1/23/20,Angola,0,0,0
1/24/20,Angola,0,0,0
1/25/20,Angola,0,0,0
1/26/20,Angola,0,0,0
1/27/20,Angola,0,0,0
1/28/20,Angola,0,0,0
1/29/20,Angola,0,0,0
1/30/20,Angola,0,0,0
1/31/20,Angola,0,0,0
43832,Angola,0,0,0
43863,Angola,0,0,0
43892,Angola,0,0,0
43923,Angola,0,0,0
43953,Angola,0,0,0
43984,Angola,0,0,0
44014,Angola,0,0,0
44045,Angola,0,0,0
44076,Angola,0,0,0
44106,Angola,0,0,0
44137,Angola,0,0,0
44167,Angola,0,0,0
2/13/20,Angola,0,0,0
2/14/20,Angola,0,0,0
2/15/20,Angola,0,0,0
2/16/20,Angola,0,0,0
2/17/20,Angola,0,0,0
2/18/20,Angola,0,0,0
2/19/20,Angola,0,0,0
2/20/20,Angola,0,0,0
2/21/20,Angola,0,0,0
2/22/20,Angola,0,0,0
2/23/20,Angola,0,0,0
2/24/20,Angola,0,0,0
2/25/20,Angola,0,0,0
2/26/20,Angola,0,0,0
2/27/20,Angola,0,0,0
2/28/20,Angola,0,0,0
2/29/20,Angola,0,0,0
43833,Angola,0,0,0
43864,Angola,0,0,0
43893,Angola,0,0,0
43924,Angola,0,0,0
43954,Angola,0,0,0
43985,Angola,0,0,0
44015,Angola,0,0,0
44046,Angola,0,0,0
44077,Angola,0,0,0
44107,Angola,0,0,0
44138,Angola,0,0,0
44168,Angola,0,0,0
3/13/20,Angola,0,0,0
3/14/20,Angola,0,0,0
3/15/20,Angola,0,0,0
3/16/20,Angola,0,0,0
3/17/20,Angola,0,0,0
3/18/20,Angola,0,0,0
3/19/20,Angola,0,0,0
3/20/20,Angola,1,0,0
3/21/20,Angola,2,0,0
3/22/20,Angola,2,0,0
3/23/20,Angola,3,0,0
3/24/20,Angola,3,0,0
3/25/20,Angola,3,0,0
3/26/20,Angola,4,0,0
3/27/20,Angola,4,0,0
3/28/20,Angola,5,0,0
3/29/20,Angola,7,2,0
3/30/20,Angola,7,2,0
3/31/20,Angola,7,2,1
43834,Angola,8,2,1
43865,Angola,8,2,1
43894,Angola,8,2,1
43925,Angola,10,2,2
43955,Angola,14,2,2
43986,Angola,16,2,2
44016,Angola,17,2,2
44047,Angola,19,2,2
44078,Angola,19,2,2
44108,Angola,19,2,2
44139,Angola,19,2,4
44169,Angola,19,2,4
4/13/20,Angola,19,2,4
4/14/20,Angola,19,2,5
4/15/20,Angola,19,2,5
4/16/20,Angola,19,2,5
4/17/20,Angola,19,2,5
4/18/20,Angola,24,2,6
4/19/20,Angola,24,2,6
4/20/20,Angola,24,2,6
4/21/20,Angola,24,2,6
4/22/20,Angola,25,2,6
4/23/20,Angola,25,2,6
4/24/20,Angola,25,2,6
4/25/20,Angola,25,2,6
4/26/20,Angola,26,2,6
4/27/20,Angola,27,2,6
1/22/20,Antigua and Barbuda,0,0,0
1/23/20,Antigua and Barbuda,0,0,0
1/24/20,Antigua and Barbuda,0,0,0
1/25/20,Antigua and Barbuda,0,0,0
1/26/20,Antigua and Barbuda,0,0,0
1/27/20,Antigua and Barbuda,0,0,0
1/28/20,Antigua and Barbuda,0,0,0
1/29/20,Antigua and Barbuda,0,0,0
1/30/20,Antigua and Barbuda,0,0,0
1/31/20,Antigua and Barbuda,0,0,0
43832,Antigua and Barbuda,0,0,0
43863,Antigua and Barbuda,0,0,0
43892,Antigua and Barbuda,0,0,0
43923,Antigua and Barbuda,0,0,0
43953,Antigua and Barbuda,0,0,0
43984,Antigua and Barbuda,0,0,0
44014,Antigua and Barbuda,0,0,0
44045,Antigua and Barbuda,0,0,0
44076,Antigua and Barbuda,0,0,0
44106,Antigua and Barbuda,0,0,0
44137,Antigua and Barbuda,0,0,0
44167,Antigua and Barbuda,0,0,0
2/13/20,Antigua and Barbuda,0,0,0
2/14/20,Antigua and Barbuda,0,0,0
2/15/20,Antigua and Barbuda,0,0,0
2/16/20,Antigua and Barbuda,0,0,0
2/17/20,Antigua and Barbuda,0,0,0
2/18/20,Antigua and Barbuda,0,0,0
2/19/20,Antigua and Barbuda,0,0,0
2/20/20,Antigua and Barbuda,0,0,0
2/21/20,Antigua and Barbuda,0,0,0
2/22/20,Antigua and Barbuda,0,0,0
2/23/20,Antigua and Barbuda,0,0,0
2/24/20,Antigua and Barbuda,0,0,0
2/25/20,Antigua and Barbuda,0,0,0
2/26/20,Antigua and Barbuda,0,0,0
2/27/20,Antigua and Barbuda,0,0,0
2/28/20,Antigua and Barbuda,0,0,0
2/29/20,Antigua and Barbuda,0,0,0
43833,Antigua and Barbuda,0,0,0
43864,Antigua and Barbuda,0,0,0
43893,Antigua and Barbuda,0,0,0
43924,Antigua and Barbuda,0,0,0
43954,Antigua and Barbuda,0,0,0
43985,Antigua and Barbuda,0,0,0
44015,Antigua and Barbuda,0,0,0
44046,Antigua and Barbuda,0,0,0
44077,Antigua and Barbuda,0,0,0
44107,Antigua and Barbuda,0,0,0
44138,Antigua and Barbuda,0,0,0
44168,Antigua and Barbuda,0,0,0
3/13/20,Antigua and Barbuda,1,0,0
3/14/20,Antigua and Barbuda,1,0,0
3/15/20,Antigua and Barbuda,1,0,0
3/16/20,Antigua and Barbuda,1,0,0
3/17/20,Antigua and Barbuda,1,0,0
3/18/20,Antigua and Barbuda,1,0,0
3/19/20,Antigua and Barbuda,1,0,0
3/20/20,Antigua and Barbuda,1,0,0
3/21/20,Antigua and Barbuda,1,0,0
3/22/20,Antigua and Barbuda,1,0,0
3/23/20,Antigua and Barbuda,3,0,0
3/24/20,Antigua and Barbuda,3,0,0
3/25/20,Antigua and Barbuda,3,0,0
3/26/20,Antigua and Barbuda,7,0,0
3/27/20,Antigua and Barbuda,7,0,0
3/28/20,Antigua and Barbuda,7,0,0
3/29/20,Antigua and Barbuda,7,0,0
3/30/20,Antigua and Barbuda,7,0,0
3/31/20,Antigua and Barbuda,7,0,0
43834,Antigua and Barbuda,7,0,0
43865,Antigua and Barbuda,9,0,0
43894,Antigua and Barbuda,15,0,0
43925,Antigua and Barbuda,15,0,0
43955,Antigua and Barbuda,15,0,0
43986,Antigua and Barbuda,15,0,0
44016,Antigua and Barbuda,19,1,0
44047,Antigua and Barbuda,19,2,0
44078,Antigua and Barbuda,19,2,0
44108,Antigua and Barbuda,19,2,0
44139,Antigua and Barbuda,21,2,0
44169,Antigua and Barbuda,21,2,0
4/13/20,Antigua and Barbuda,23,2,0
4/14/20,Antigua and Barbuda,23,2,3
4/15/20,Antigua and Barbuda,23,2,3
4/16/20,Antigua and Barbuda,23,3,3
4/17/20,Antigua and Barbuda,23,3,3
4/18/20,Antigua and Barbuda,23,3,3
4/19/20,Antigua and Barbuda,23,3,3
4/20/20,Antigua and Barbuda,23,3,3
4/21/20,Antigua and Barbuda,23,3,7
4/22/20,Antigua and Barbuda,24,3,10
4/23/20,Antigua and Barbuda,24,3,10
4/24/20,Antigua and Barbuda,24,3,11
4/25/20,Antigua and Barbuda,24,3,11
4/26/20,Antigua and Barbuda,24,3,11
4/27/20,Antigua and Barbuda,24,3,11
1/22/20,Argentina,0,0,0
1/23/20,Argentina,0,0,0
1/24/20,Argentina,0,0,0
1/25/20,Argentina,0,0,0
1/26/20,Argentina,0,0,0
1/27/20,Argentina,0,0,0
1/28/20,Argentina,0,0,0
1/29/20,Argentina,0,0,0
1/30/20,Argentina,0,0,0
1/31/20,Argentina,0,0,0
43832,Argentina,0,0,0
43863,Argentina,0,0,0
43892,Argentina,0,0,0
43923,Argentina,0,0,0
43953,Argentina,0,0,0
43984,Argentina,0,0,0
44014,Argentina,0,0,0
44045,Argentina,0,0,0
44076,Argentina,0,0,0
44106,Argentina,0,0,0
44137,Argentina,0,0,0
44167,Argentina,0,0,0
2/13/20,Argentina,0,0,0
2/14/20,Argentina,0,0,0
2/15/20,Argentina,0,0,0
2/16/20,Argentina,0,0,0
2/17/20,Argentina,0,0,0
2/18/20,Argentina,0,0,0
2/19/20,Argentina,0,0,0
2/20/20,Argentina,0,0,0
2/21/20,Argentina,0,0,0
2/22/20,Argentina,0,0,0
2/23/20,Argentina,0,0,0
2/24/20,Argentina,0,0,0
2/25/20,Argentina,0,0,0
2/26/20,Argentina,0,0,0
2/27/20,Argentina,0,0,0
2/28/20,Argentina,0,0,0
2/29/20,Argentina,0,0,0
43833,Argentina,0,0,0
43864,Argentina,0,0,0
43893,Argentina,1,0,0
43924,Argentina,1,0,0
43954,Argentina,1,0,0
43985,Argentina,2,0,0
44015,Argentina,8,0,0
44046,Argentina,12,1,0
44077,Argentina,12,1,0
44107,Argentina,17,1,0
44138,Argentina,19,1,0
44168,Argentina,19,1,0
3/13/20,Argentina,31,2,0
3/14/20,Argentina,34,2,1
3/15/20,Argentina,45,2,1
3/16/20,Argentina,56,2,1
3/17/20,Argentina,68,2,3
3/18/20,Argentina,79,2,3
3/19/20,Argentina,97,3,3
3/20/20,Argentina,128,3,3
3/21/20,Argentina,158,4,3
3/22/20,Argentina,266,4,3
3/23/20,Argentina,301,4,3
3/24/20,Argentina,387,6,52
3/25/20,Argentina,387,8,52
3/26/20,Argentina,502,9,63
3/27/20,Argentina,589,13,72
3/28/20,Argentina,690,18,72
3/29/20,Argentina,745,19,72
3/30/20,Argentina,820,23,228
3/31/20,Argentina,1054,27,240
43834,Argentina,1054,28,248
43865,Argentina,1133,36,256
43894,Argentina,1265,39,266
43925,Argentina,1451,43,279
43955,Argentina,1451,44,280
43986,Argentina,1554,48,325
44016,Argentina,1628,56,338
44047,Argentina,1715,63,358
44078,Argentina,1795,72,365
44108,Argentina,1975,82,375
44139,Argentina,1975,83,440
44169,Argentina,2142,90,468
4/13/20,Argentina,2208,97,515
4/14/20,Argentina,2277,102,559
4/15/20,Argentina,2443,111,596
4/16/20,Argentina,2571,115,631
4/17/20,Argentina,2669,123,666
4/18/20,Argentina,2758,129,685
4/19/20,Argentina,2839,132,709
4/20/20,Argentina,2941,136,737
4/21/20,Argentina,3031,147,840
4/22/20,Argentina,3144,152,872
4/23/20,Argentina,3435,165,919
4/24/20,Argentina,3607,176,976
4/25/20,Argentina,3780,185,1030
4/26/20,Argentina,3892,192,1107
4/27/20,Argentina,4003,197,1140
1/22/20,Armenia,0,0,0
1/23/20,Armenia,0,0,0
1/24/20,Armenia,0,0,0
1/25/20,Armenia,0,0,0
1/26/20,Armenia,0,0,0
1/27/20,Armenia,0,0,0
1/28/20,Armenia,0,0,0
1/29/20,Armenia,0,0,0
1/30/20,Armenia,0,0,0
1/31/20,Armenia,0,0,0
43832,Armenia,0,0,0
43863,Armenia,0,0,0
43892,Armenia,0,0,0
43923,Armenia,0,0,0
43953,Armenia,0,0,0
43984,Armenia,0,0,0
44014,Armenia,0,0,0
44045,Armenia,0,0,0
44076,Armenia,0,0,0
44106,Armenia,0,0,0
44137,Armenia,0,0,0
44167,Armenia,0,0,0
2/13/20,Armenia,0,0,0
2/14/20,Armenia,0,0,0
2/15/20,Armenia,0,0,0
2/16/20,Armenia,0,0,0
2/17/20,Armenia,0,0,0
2/18/20,Armenia,0,0,0
2/19/20,Armenia,0,0,0
2/20/20,Armenia,0,0,0
2/21/20,Armenia,0,0,0
2/22/20,Armenia,0,0,0
2/23/20,Armenia,0,0,0
2/24/20,Armenia,0,0,0
2/25/20,Armenia,0,0,0
2/26/20,Armenia,0,0,0
2/27/20,Armenia,0,0,0
2/28/20,Armenia,0,0,0
2/29/20,Armenia,0,0,0
43833,Armenia,1,0,0
43864,Armenia,1,0,0
43893,Armenia,1,0,0
43924,Armenia,1,0,0
43954,Armenia,1,0,0
43985,Armenia,1,0,0
44015,Armenia,1,0,0
44046,Armenia,1,0,0
44077,Armenia,1,0,0
44107,Armenia,1,0,0
44138,Armenia,1,0,0
44168,Armenia,4,0,0
3/13/20,Armenia,8,0,0
3/14/20,Armenia,18,0,0
3/15/20,Armenia,26,0,0
3/16/20,Armenia,52,0,0
3/17/20,Armenia,78,0,1
3/18/20,Armenia,84,0,1
3/19/20,Armenia,115,0,1
3/20/20,Armenia,136,0,1
3/21/20,Armenia,160,0,1
3/22/20,Armenia,194,0,2
3/23/20,Armenia,235,0,2
3/24/20,Armenia,249,0,14
3/25/20,Armenia,265,0,16
3/26/20,Armenia,290,1,18
3/27/20,Armenia,329,1,28
3/28/20,Armenia,407,1,30
3/29/20,Armenia,424,3,30
3/30/20,Armenia,482,3,30
3/31/20,Armenia,532,3,30
43834,Armenia,571,4,31
43865,Armenia,663,7,33
43894,Armenia,736,7,43
43925,Armenia,770,7,43
43955,Armenia,822,7,57
43986,Armenia,833,8,62
44016,Armenia,853,8,87
44047,Armenia,881,9,114
44078,Armenia,921,10,138
44108,Armenia,937,12,149
44139,Armenia,967,13,173
44169,Armenia,1013,13,197
4/13/20,Armenia,1039,14,211
4/14/20,Armenia,1067,16,265
4/15/20,Armenia,1111,17,297
4/16/20,Armenia,1159,18,358
4/17/20,Armenia,1201,19,402
4/18/20,Armenia,1248,20,523
4/19/20,Armenia,1291,20,545
4/20/20,Armenia,1339,22,580
4/21/20,Armenia,1401,24,609
4/22/20,Armenia,1473,24,633
4/23/20,Armenia,1523,24,659
4/24/20,Armenia,1596,27,728
4/25/20,Armenia,1677,28,803
4/26/20,Armenia,1746,28,833
4/27/20,Armenia,1808,29,848
1/22/20,Australia,0,0,0
1/23/20,Australia,0,0,0
1/24/20,Australia,0,0,0
1/25/20,Australia,0,0,0
1/26/20,Australia,4,0,0
1/27/20,Australia,5,0,0
1/28/20,Australia,5,0,0
1/29/20,Australia,6,0,0
1/30/20,Australia,9,0,2
1/31/20,Australia,9,0,2
43832,Australia,12,0,2
43863,Australia,12,0,2
43892,Australia,12,0,2
43923,Australia,13,0,2
43953,Australia,13,0,2
43984,Australia,14,0,2
44014,Australia,15,0,2
44045,Australia,15,0,2
44076,Australia,15,0,2
44106,Australia,15,0,2
44137,Australia,15,0,2
44167,Australia,15,0,2
2/13/20,Australia,15,0,8
2/14/20,Australia,15,0,8
2/15/20,Australia,15,0,8
2/16/20,Australia,15,0,8
2/17/20,Australia,15,0,10
2/18/20,Australia,15,0,10
2/19/20,Australia,15,0,10
2/20/20,Australia,15,0,10
2/21/20,Australia,15,0,11
2/22/20,Australia,15,0,11
2/23/20,Australia,15,0,11
2/24/20,Australia,15,0,11
2/25/20,Australia,15,0,11
2/26/20,Australia,15,0,11
2/27/20,Australia,15,0,11
2/28/20,Australia,15,0,11
2/29/20,Australia,25,0,11
43833,Australia,27,1,11
43864,Australia,30,1,11
43893,Australia,39,1,11
43924,Australia,52,2,11
43954,Australia,55,2,21
43985,Australia,60,2,21
44015,Australia,63,2,21
44046,Australia,76,3,21
44077,Australia,91,3,21
44107,Australia,107,3,21
44138,Australia,128,3,21
44168,Australia,128,3,21
3/13/20,Australia,200,3,23
3/14/20,Australia,250,3,23
3/15/20,Australia,297,3,23
3/16/20,Australia,377,3,23
3/17/20,Australia,452,5,23
3/18/20,Australia,568,6,23
3/19/20,Australia,681,6,26
3/20/20,Australia,791,7,26
3/21/20,Australia,1071,7,26
3/22/20,Australia,1549,7,88
3/23/20,Australia,1682,7,88
